Model,Accuracy,StdDev
Logistic Regression,0.9738416743623993,0.0003435956989651656
Decision Tree,0.9630326564408447,0.0013210055857951885
Random Forest,0.9662620477067101,0.0013068422514301494
Gradient Boosting,0.973518727838383,0.0004636812662589951
AdaBoost,0.973442767060205,0.0003865243707637733
